factor,sweep_value,onset_ms,dur_ms,vel_bins,vocab_size,num_files,total_original_tokens,total_bpe_tokens,reduction_ratio,compression_factor
onset,1,1,10,128,109580,115182,2778022295,1860440732,0.6696997123991764,1.4932065543488648
onset,2,2,10,128,59581,115182,2778022295,1860440732,0.6696997123991764,1.4932065543488648
onset,5,5,10,128,29581,115182,2778022295,1860440732,0.6696997123991764,1.4932065543488648
onset,10,10,10,128,19581,115182,2778022295,1860440732,0.6696997123991764,1.4932065543488648
onset,20,20,10,128,14581,115182,2778022295,1860440732,0.6696997123991764,1.4932065543488648
duration,1,10,1,128,28577,115355,2783415025,1969519125,0.7075908936720638,1.4132459998325733
duration,2,10,2,128,23579,115355,2783415025,1956391134,0.7028743886298451,1.4227293186046508
duration,5,10,5,128,20580,115355,2783415025,1927811741,0.692606644601985,1.4438209736995269
duration,10,10,10,128,19580,115355,2783415025,1862916726,0.6692917546494885,1.494116718237034
duration,20,10,20,128,19080,115355,2783415025,1763433881,0.6335504641461077,1.5784062305877857
velocity,128,10,10,128,19580,115277,2780005890,1861807398,0.6697134724415997,1.4931758746830375
velocity,8,10,10,8,19461,115277,2780005890,1537998213,0.5532355951231456,1.8075481925153576
velocity,16,10,10,16,19469,115277,2780005890,1581219137,0.5687826571475357,1.7581408072725595
velocity,32,10,10,32,19485,115277,2780005890,1636061367,0.5885100362143477,1.699206366016465
velocity,64,10,10,64,19517,115277,2780005890,1791685890,0.6444899618540016,1.5516145466770406
