vocab_size,token_size,categories,vocab_proportion
11644,2,pitch+instrument,0.0101
11644,2,time+duration,0.0057
11644,2,instrument+velocity,0.0015
11644,3,duration+pitch+instrument,0.0013
11644,3,pitch+instrument+velocity,0.0009
11644,4,time+duration+pitch+instrument,0.0025
11900,2,pitch+instrument,0.022
11900,2,time+duration,0.0084
11900,2,instrument+velocity,0.0036
11900,3,duration+pitch+instrument,0.0025
11900,3,pitch+instrument+velocity,0.0021
11900,4,time+duration+pitch+instrument,0.0041
11900,5,time+duration+pitch+instrument+velocity,0.0003
12412,2,pitch+instrument,0.0408
12412,2,time+duration,0.0142
12412,2,instrument+velocity,0.0069
12412,3,pitch+instrument+velocity,0.0062
12412,3,duration+pitch+instrument,0.0043
12412,3,time+duration+pitch,0.0003
12412,4,time+duration+pitch+instrument,0.0084
12412,4,duration+pitch+instrument+velocity,0.0004
12412,5,time+duration+pitch+instrument+velocity,0.001
13436,2,pitch+instrument,0.0697
13436,2,time+duration,0.0167
13436,2,instrument+velocity,0.0101
13436,2,duration+pitch,0.0005
13436,3,pitch+instrument+velocity,0.0151
13436,3,duration+pitch+instrument,0.0097
13436,3,time+duration+pitch,0.0044
13436,4,time+duration+pitch+instrument,0.0149
13436,4,duration+pitch+instrument+velocity,0.0033
13436,5,time+duration+pitch+instrument+velocity,0.0079
15484,2,pitch+instrument,0.0901
15484,2,time+duration,0.0197
15484,2,instrument+velocity,0.0149
15484,2,duration+pitch,0.0037
15484,3,pitch+instrument+velocity,0.0552
15484,3,duration+pitch+instrument,0.0143
15484,3,time+duration+pitch,0.0136
15484,4,time+duration+pitch+instrument,0.0205
15484,4,duration+pitch+instrument+velocity,0.0105
15484,5,time+duration+pitch+instrument+velocity,0.022
19580,2,pitch+instrument,0.0898
19580,2,instrument+velocity,0.0229
19580,2,time+duration,0.02
19580,2,duration+pitch,0.0128
19580,3,pitch+instrument+velocity,0.1259
19580,3,time+duration+pitch,0.0284
19580,3,duration+pitch+instrument,0.0179
19580,4,time+duration+pitch+instrument,0.0301
19580,4,duration+pitch+instrument+velocity,0.0242
19580,5,time+duration+pitch+instrument+velocity,0.0462
27772,2,pitch+instrument,0.0737
27772,2,instrument+velocity,0.0354
27772,2,duration+pitch,0.0226
27772,2,time+duration,0.0154
27772,3,pitch+instrument+velocity,0.2215
27772,3,time+duration+pitch,0.0359
27772,3,duration+pitch+instrument,0.0219
27772,4,duration+pitch+instrument+velocity,0.0452
27772,4,time+duration+pitch+instrument,0.0387
27772,5,time+duration+pitch+instrument+velocity,0.0797
44156,2,instrument+velocity,0.0537
44156,2,pitch+instrument,0.051
44156,2,duration+pitch,0.0268
44156,2,time+duration,0.0115
44156,3,pitch+instrument+velocity,0.3102
44156,3,time+duration+pitch,0.037
44156,3,duration+pitch+instrument,0.0253
44156,4,duration+pitch+instrument+velocity,0.0692
44156,4,time+duration+pitch+instrument,0.0443
44156,5,time+duration+pitch+instrument+velocity,0.1131
76924,2,instrument+velocity,0.0639
76924,2,pitch+instrument,0.0309
76924,2,duration+pitch,0.025
76924,2,time+duration,0.0105
76924,3,pitch+instrument+velocity,0.3804
76924,3,time+duration+pitch,0.0311
76924,3,duration+pitch+instrument,0.0261
76924,4,duration+pitch+instrument+velocity,0.0894
76924,4,time+duration+pitch+instrument,0.0462
76924,5,time+duration+pitch+instrument+velocity,0.1484
